puesto,ciudad,fecha
UI/UX Web &  Mobile Designer,Guecho,09/01/14
Senior UX Designer,Barcelona,26/01/11
Auxiliar administrativa,Sitges,08/03/11
Diseñador UI/UX de aplicaciones móviles,Madrid,02/11/16
Consultor UX Diseñador de Interacción,Madrid,13/11/15
Web & UX, UI Designer,Madrid
UI/UX Senior Designer,Madrid,03/10/14
Consultor UX Senior,Madrid,12/01/15
Experto/Diseñador UX/UI,Madrid,13/05/16
UI/UX Designer,Madrid,06/05/16
Senior UX Designer,Madrid,05/12/16
Consultor UX para Digital Experience,Madrid,05/03/13
Profesor UX-UI,Madrid,14/03/16
DIiseñador UXAI Junior,Barcelona,21/04/15
UI/UX designer,Zúrich, Suiza
UI/UX Designer,Barcelona,12/05/16
UX/UI Designer,Sant Cugat del Vallès,28/10/16
Graphic/UI/UX Designer,Altea,01/06/11
Diseñador visual web/UX que sea fino, fino...,Madrid
Diseñador UI/UX para soluciones web, desktop y mobile,Valencia
Diseñador UX/ UI Designer,Madrid,12/05/15
UI/UX and/or Design Engineer,Westfield,07/01/12
Auxiliar Diseño gráfico,Barcelona,29/06/15
UX Designer,Madrid,15/09/15
Diseñador/a UX,Valladolid,27/01/17
Senior UX/UI Designer,Barcelona,09/03/17
Programador web senior experto en UX,Barcelona,26/04/12
Diseñador UX,Madrid,11/06/14
Junior UX Designer,Barcelona,14/05/15
Consultor Diseño y UX Mobile.,Madrid,23/10/15
UX & UI Designer at Medtep,Barcelona,11/06/15
Diseñadores UI/UX,Madrid,06/12/11
Consultor Externo de UX,Indiferente Online,28/10/13
MARCA.com: Designer/Coder UI-UX,Madrid,12/05/11
Diseñador/a de UX/UI,Madrid,18/03/16
Diseñador UI/UX Junior,Barcelona,03/08/15
Analista Java/J2SE sobre Linux,Madrid,27/09/16
Diseñador web y UX,Barcelona,01/06/16
