puesto,ciudad,fecha
Programador Front-End,Madrid,24/08/16
Programador FrontEnd,Barcelona,02/03/17
Desarrollador FrontEnd,Madrid,23/02/16
Senior Programmer & Front and Back End Web Developer, project...,Barcelona
Frontend Designer &amp; Web Developer,Madrid,09/07/13
Desarrollador Frontend,Madrid,03/02/16
Senir Front-end Developer,Barcelona,01/10/14
Desarrollador/Programador front end,Barcelona,22/04/16
Desarrollador senior frontend (aplicativos móviles),Barcelona,21/04/11
Diseñador Gráfico Front End App iOS Urgente,-,11/07/12
Programador Front End,Madrid,16/07/14
Diseñador Web / Front End Developer,Barcelona,17/11/16
Diseñador maquetador frontend,Barcelona,06/07/12
Frontend Developer,Barcelona,30/10/13
Front-end Developer,Barcelona,20/05/09
Desarrollador Front-End Freelance,Madrid,01/09/14
Maquetador/Desarrollador Front Junior.,Barcelona,06/10/15
Desarrollador Front-End (Drupal),Madrid,09/02/11
Front-end Developer,Barcelona,11/11/15
PHP frontend web developer,Villafranca del Panadés,26/10/12
Front-end Developer,Barcelona,05/04/13
Social Media Manager Front Desk Receptionist,Barcelona,20/01/15
Frontend Developer (Design),Barcelona,04/08/14
Desarrollador Front-End,En remoto,07/03/17
Desarrollador Frontend ReactJS/BackboneJS,Madrid,24/05/16
Programador PHP HTML CSS JQuery Front-end,Barcelona,09/02/17
Diseñador Web/Frontend,Orense,13/04/16
Frontend Developer / JavaScript,Murcia,25/02/15
Android & iOS freelance front-end developer/s,Barcelona,30/06/14
Front-end Developer,Barcelona,13/05/09
Desarrollador FrontEnd y BackEnd (.NET C#/VB.NET/MVC),Rivas-Vaciamadrid,28/02/17
Front-end designer,Barcelona,06/07/12
Programador Front End,Madrid,05/05/14
UX/UI Frontender,Barcelona,27/05/14
Programador de PHP/Wordpress y Frontend CSS+JS,Madrid,24/07/14
Programador Front End,Madrid,08/02/11
FRONT-END DESIGNER AND DEVELOPER,Sant Cugat del Vallès,11/02/13
Frontend Engineer for promising project in Barcelona,Barcelona,05/03/13
Programador  Frontend/Backend en Barcelona,Barcelona,13/03/13
Diseñador & Desarrollador Frontend,Barcelona,06/10/15
Desarrollador web front-end en Ciudad Real,Ciudad Real,20/12/11
Frontend Developer (AngularJS),Barcelona,18/05/16
Programador Front End,Barcelona,05/03/12
