puesto,ciudad,fecha
Diseñador Multimedia Junior,Barcelona,28-04-10
Etalonador-Colorista profesional para videoclip,Barcelona,27-04-10
Etalonador-Colorista profesional con color de Apple,Barcelona,27-04-10
Programador especializado,Barcelona,26-04-10
Postproducción de sonido y Dolby Digital,Barcelona,24-04-10
Etalonador pro en Lustre Quantel Nucoda y Da Vinci,Barcelona,24-04-10
Programador Flash con experiencia en gambling,Barcelona,23-04-10
Becario Diseñador Gráfico,Barcelona,07-05-10
Programador PHP MySQL y AS3,Barcelona,05-05-10
Consultor de UX,Barcelona,05-05-10
Experto en Joomla,Barcelona,05-05-10
Programador-Animador Flash,Barcelona,03-05-10
Diseñador Gráfico en prácticas,Barcelona,30-04-10
Desarrolladores Senior y Lead Developer en Ruby On Rails,Barcelona,15-05-10
Creativo-Redactor,Barcelona,12-05-10
Director de Arte-Multimedia,Barcelona,12-05-10
Desarrollador Ruby on Rails,Barcelona,11-05-10
Programador Flash Senior,Barcelona,11-05-10
Copy freelance,Barcelona,11-05-10
Community Manager,Barcelona,11-05-10
Diseñadores Web,Barcelona,11-05-10
Freelance part-time responsable de Arquitectura Información-U...,Barcelona,23-05-10
Beca para Diseñador Gráfico Multimedia-Programador,Barcelona,20-05-10
Programador AS3,Barcelona,19-05-10
Programador Flash AS3,Barcelona,18-05-10
Desarrollador .NET,Barcelona,17-05-10
Diseñador multimedia,Barcelona,17-05-10
Operador de Adobe Illustrator,Barcelona,01-06-10
Experto en SEM freelance,Barcelona,31-05-10
Programador PHP5,Barcelona,31-05-10
Maquetador XHTML y CSS,Barcelona,31-05-10
Beca para programador HTML,Barcelona,28-05-10
Programador Web,Barcelona,28-05-10
Programador Flash,Barcelona,27-05-10
Programador Web freelance,Barcelona,26-05-10
Copy Creativo,Barcelona,26-05-10
Experto en UX,Barcelona,26-05-10
Asistente de producción de street marketing. Becario,Barcelona,26-05-10
Programador,Barcelona,25-05-10
Experto en Flex,Barcelona,08-06-10
Programador PHP,Barcelona,08-06-10
Desarrolladores de aplicaciones Móviles,Barcelona,07-06-10
Ilustrador-Maquetador,Barcelona,06-06-10
Experto en Second Life,Barcelona,04-06-10
Programador AS3 para proyecto comercial,Barcelona,02-06-10
Programador HTML CSS Java Script,Barcelona,01-06-10
Prácticas de Diseño y Maquetación Web,Barcelona,14-06-10
Prácticas de Maquetación PHP,Barcelona,14-06-10
Programador PHP,Barcelona,14-06-10
Coordinador de Fotografía,Barcelona,09-06-10
Programador ASP y .NET,Barcelona,09-06-10
Técnico en CSS HTML5 y Flash,Barcelona,09-06-10
Programadores Web avanzados,Barcelona,08-06-10
Programador de Back-end (PHP),Barcelona,21-06-10
Programadores Web freelances,Barcelona,21-06-10
Diseñador Gráfico-Maquetador,Barcelona,18-06-10
Creador de epubs freelance,Barcelona,18-06-10
Programador para colectivo freelance,Barcelona,17-06-10
Programador Web,Barcelona,17-06-10
