Puesto,Ciudad,Fecha
SEM SPECIALIST,"Madrid, España",06/08/12
Junior Designer,"Madrid, España",14/10/15
Comercial Freelance,"Toledo, España",09/09/10
Diseño UI / UX para Web y Apps,"Ávila, España",27/10/15
Gestor de Adquisición de Usuarios Móviles,"Madrid, España",27/07/16
Trade Marketing,"Barcelona, España",13/10/16
CTO,"Igualada, España",29/04/15
beca diseño gráfico,"Madrid, España",07/02/11
Diseñador UX/UI mobile&web,"Barcelona, España",09/03/17
Ilustrador para proyecto de imágenes en camafeos,En remoto,01/03/13
Diseñador Gráfico Web especializado en moda,"Tordera, España",20/03/12
HYATT SEO ANALYST,"Barcelona, España",22/03/11
Desarrollador de Juegos Web / Responsive,"Madrid, España",29/09/15
UI Designer,"Barcelona, España",28/07/16
Programadaro Joomla,"Barcelona, España",23/03/11
Game Programmer Leader - Virtual Reality,"Barcelona, España",11/11/16
Programador web,"Villena, España",09/11/15
Programador Online,"Barcelona, España",12/06/13
Posicionadores web / wordpress.,"Madrid, España",02/09/15
Graphic Designer,"Düsseldorf, Alemania",14/08/15
Iluminador 3D y Artista de Renders,"Buenos Aires, Argentina",26/02/10
Project Manager,"Barcelona, España",05/05/15
Buscamos para estudio de diseño alternativo….Ejecutiva/o de C...,En remoto,27/03/11
Creative Copywriter,"Madrid, España",16/01/15
Ejecutivo de Cuentas - Trainee,"San Sebastián de los Reyes, España",01/03/16
Programador iOS para App universal (iPad/iPhone),"Sabadell, España",19/08/14
Diseñador@ Gráfico téxtil,"Canet de Mar, España",06/02/17
Diseñador/a multidisciplinar Senior,"Barcelona, España",21/09/16
Diseñador y Programador Front-end,"Palma, España",12/07/16
Prácticas Diseñador Gráfico - Marketing Online - Community Ma...,"San Martín de Valdeiglesias, España",11/08/14
Community manager,"Sant Cugat del Vallès, España",02/03/15
Designer (m/f) - Corporate Design,"Fráncfort, Alemania",22/10/15
Retail Marketing Systems Manager,"Madrid, España",28/01/14
Buscamos a frikis del DISEÑO,"Cabrils, España",08/11/11
Grabación y edición de video,"Madrid, España",08/11/16
"Programador / Maquetador Web (Php, HTML) Freelance","Pamplona, España",10/06/11
Becario Edición y Posproduccion de vídeo,"Madrid, España",25/09/12
Interiorista,Cantoria - 50% del tiempo viajando,23/11/13
Diseñador de Moda y Gráfico,"Alcobendas, España",07/05/10
Programador Java junior,"Barcelona, España",01/07/16
Social Media Manager para startup,"Madrid, España",18/04/16
Director de Arte Online,"Barcelona, España",28/08/09
Diseñador Gráfico-Ilustrador Freelance,"Madrid, España",24/11/15
Consultor senior. Solution marketing experts,"Madrid, España",26/03/12
Diseñador Gráfico,"Barcelona, España",10/08/11
Comercial freelance,"Madrid, España",08/06/10
Diseñador y maquetador web,"Montgat, España",29/04/16
Técnico 3D,"Barcelona, España",01/06/16
Director Creativo Web  + html,"Madrid, España",28/01/17
IT Project Manager,"Palma, España",26/10/15
Community Manager,"Barcelona, España",16/12/14
Posicionamiento y Usabilidad Web (PUW):,"Madrid, España",04/01/12
AS2/AS3 Developer,"Madrid, España",21/09/11
Artista 2D Pixel Art,"Madrid, España",18/07/10
Programador Front-end Senior,"Barcelona, España",06/05/14
Desarrollador Web,"Barcelona, España",22/12/09
Diseñador - Maquetador Web,"Guecho, España",06/11/14
Desarrollador PHP senior,"Madrid, España",07/03/16
Webmaster para portal Joomla!,"Barcelona, España",03/09/09
Diseñador de Packaging,"Rivas-Vaciamadrid, España",09/04/13
Maquetador,"Barcelona, España",05/04/12
Comunicación Trainee,"Madrid, España",05/08/16
Programador AS3,"Barcelona, España",21/10/08
DIRECTOR DE CUENTAS,"Madrid, España",12/08/11
Junior RRPP - Social Advisor (chino nativo),"Barcelona, España",11/01/17
Programadores Web avanzados,"Barcelona, España",08/06/10
Programador,"Las Rozas, España",07/04/14
Administrativa/o Dpto. Merchandising,"Madrid, España",24/07/13
Programadores/as Backend JAVA,"Barcelona, España",11/03/16
Diseñador web / Desarrollador front end,"Madrid, España",14/06/11
Senior Web & Graphic Designer Freelance,"Barcelona, España",20/01/14
Programador BackEnd Junior (presencial),"Madrid, España",12/05/11
Maquetador/a - Desarrollador/a frontend,"Pamplona, España",30/01/17
Diseñador@ Web Freelance,"Barcelona, España",28/04/15
Frontend developer in Cronnection Barcelona,"Barcelona, España",11/05/15
Programador Actionscript/animador Flash,"Sevilla, España",27/05/09
Diseñador Web,"Madrid, España",07/05/15
GAME DESIGNER / CONCEPT DESIGNER,"Madrid, España",12/09/12
Programador Experto en Moodle,"Barcelona, España",25/11/14
Desarrollador web (Ruby on Rails/PHP),"Madrid, España",09/05/11
Temporary PPC Campaign Manager,"Barcelona, España",18/03/11
Diseñador Gráfico Junior,"Barcelona, España",10/03/14
Desarrollador Drupal,"Madrid, España",24/09/14
Interactive / Digital Designer,"Amberes, Bélgica",14/09/13
Senior Digital Art,"Madrid, España",24/05/16
Social Media Specialist,"Madrid, España",24/07/14
Operador de cámara y editor,"Madrid, España",26/10/16
"Diseñador Web Senior, experto en usabilidad","Barcelona, España",01/10/09
Junior Frontend Developer,"Barcelona, España",25/08/15
"Ruby on Rails Developer, Berlin","Berlín, Alemania",04/04/11
Diseñadores Web Senior y Junior,"Lake Forest, Estados Unidos",09/03/10
Programador Flash. FLAR toolkit,"Madrid, España",24/02/10
Beca de Diseñador Gráfico Digital,"Madrid, España",16/11/16
"Programador freelance HTML con experiencia (BCN, no presencial)","L'Hospitalet de Llobregat, España",14/01/11
Diseñador gráfico,"Madrid, España",30/09/11
Diseñor web,"Madrid, España",31/08/10
Freelance Captivate,"Barcelona, España",20/09/13
Diseñador/a Web Senior,"Barcelona, España",09/12/09
Desarrollador Senior OpenERP,"Madrid, España",16/04/15
Programador PHP - Magento,"Madrid, España",14/05/13
